Started Log File:     logs/MMTK 2021-06-01 12-36-39-COM5.txt
Data Source:     COM5

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.45	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.45	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.46	0	2	0	0	0	12.27	1	1	1	1	0	
1	0.00	0.00	-10.46	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.29	1	1	1	1	1	
1	255.80	0.00	-10.45	0	0	0	0	0	12.29	1	1	1	0	1	
1	364.79	0.62	-10.45	14	0	0	0	0	12.27	1	1	1	0	1	
1	367.65	1.11	-10.46	24	0	0	0	0	12.29	1	1	1	1	1	
1	374.25	1.85	-10.46	38	0	0	0	0	12.27	1	1	1	1	1	
1	375.75	2.35	-10.46	48	0	0	0	0	12.27	1	1	1	1	1	
1	377.26	3.10	-10.45	64	0	0	0	0	12.27	1	1	1	1	1	
1	377.26	3.60	-10.46	74	0	0	0	0	12.27	1	1	1	1	1	
1	374.25	4.35	-10.46	88	0	0	0	0	12.27	1	1	1	1	1	
1	372.76	4.85	-10.44	98	0	0	0	0	12.27	1	1	1	1	1	
1	366.21	5.59	-10.47	114	0	0	0	0	12.29	1	1	1	1	1	
1	360.58	6.07	-10.48	122	0	0	0	0	12.27	1	1	1	1	1	
1	356.46	6.55	-10.47	132	0	0	0	0	12.27	1	1	1	1	1	
1	343.41	7.24	-10.48	146	0	0	0	0	12.29	1	1	1	1	1	
1	338.45	7.69	-10.46	156	0	0	0	0	12.29	1	1	1	1	1	
1	323.83	8.35	-10.45	168	0	0	0	0	12.29	1	1	1	1	1	
1	310.43	8.78	-10.45	176	0	0	0	0	12.29	1	1	1	1	1	
1	294.35	9.39	-10.45	190	0	0	0	0	12.29	1	1	1	1	1	
1	281.53	9.77	-10.47	196	0	0	0	0	12.29	1	1	1	1	1	
1	261.87	10.32	-10.48	208	0	0	0	0	12.29	1	1	1	1	1	
1	247.36	10.66	-10.46	214	0	0	0	0	12.29	1	1	1	1	1	
1	226.18	11.13	-10.46	224	0	0	0	0	12.27	1	1	1	1	1	
1	209.73	11.43	-10.46	230	0	0	0	0	12.29	1	1	1	1	1	
1	193.30	11.70	-10.46	236	0	0	0	0	12.29	1	1	1	1	1	
1	168.62	12.07	-10.45	242	0	0	0	0	12.29	1	1	1	1	1	
1	151.09	12.28	-10.45	248	0	0	0	0	12.29	1	1	1	1	1	
1	125.25	12.57	-10.46	252	0	0	0	0	12.27	1	1	1	1	1	
1	107.94	12.72	-10.45	256	0	0	0	0	12.29	1	1	1	1	1	
1	80.03	12.91	-10.45	260	0	0	0	0	12.29	1	1	1	1	1	
1	80.03	13.02	-10.46	262	0	0	0	0	12.29	1	1	1	1	1	
1	80.03	13.18	-10.47	264	0	0	0	0	12.29	1	1	1	1	1	
1	80.03	13.29	-10.46	268	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	13.42	-10.45	270	0	0	0	0	12.27	1	1	1	1	1	
1	240.08	13.70	-10.46	276	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	14.01	-10.46	282	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	14.50	-10.46	292	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	14.82	-10.46	298	0	0	0	0	12.27	1	1	1	1	1	
1	240.08	15.30	-10.46	308	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	15.61	-10.46	314	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	16.09	-10.47	324	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	16.41	-10.47	330	0	0	0	0	12.27	1	1	1	1	1	
1	240.08	16.89	-10.46	340	0	0	0	0	12.27	1	1	1	1	1	
1	240.08	17.21	-10.46	346	0	0	0	0	12.29	1	1	1	1	1	
1	80.03	17.36	-10.46	348	0	0	0	0	12.29	1	1	1	1	1	
1	80.03	17.52	-10.46	352	0	0	0	0	12.27	1	1	1	1	1	
1	80.03	17.63	-10.46	354	0	0	0	0	12.29	1	1	1	1	1	
1	89.88	17.79	-10.47	358	0	0	0	0	12.27	1	1	1	1	1	
1	105.22	17.87	-10.46	358	0	0	0	0	12.29	1	1	1	1	1	
1	135.09	18.11	-10.47	364	0	0	0	0	12.29	1	1	1	1	1	
1	153.69	18.30	-10.48	368	0	0	0	0	12.29	1	1	1	1	1	
1	177.89	18.63	-10.45	374	0	0	0	0	12.29	1	1	1	1	1	
1	194.91	18.65	-10.46	374	0	0	0	1	12.29	1	1	1	1	1	
1	218.02	18.24	-10.47	366	0	0	0	1	12.27	1	1	1	1	1	
1	234.08	17.95	-10.47	360	0	0	0	1	12.29	1	1	1	1	1	
1	255.10	17.47	-10.47	350	0	0	0	1	12.29	1	1	1	1	1	
1	269.40	17.11	-10.48	344	0	0	0	1	12.29	1	1	1	1	1	
1	282.81	16.75	-10.47	336	0	0	0	1	12.29	1	1	1	1	1	
1	300.48	16.17	-10.48	324	0	0	0	1	12.29	1	1	1	1	1	
1	311.98	15.77	-10.47	316	0	0	0	1	12.27	1	1	1	1	1	
1	326.66	15.14	-10.45	304	0	0	0	1	12.30	1	1	1	1	1	
1	336.02	14.70	-10.45	296	0	0	0	1	12.29	1	1	1	1	1	
1	347.87	14.02	-10.45	282	0	0	0	1	12.27	1	1	1	1	1	
1	355.11	13.55	-10.45	272	0	0	0	1	12.29	1	1	1	1	1	
1	363.37	12.84	-10.45	258	0	0	0	1	12.25	1	1	1	1	1	
1	368.37	12.35	-10.46	248	0	0	0	1	12.29	1	1	1	1	1	
1	372.02	11.86	-10.48	238	0	0	0	1	12.29	1	1	1	1	1	
1	375.75	11.12	-10.47	224	0	0	0	1	12.27	1	1	1	1	1	
1	377.26	10.62	-10.47	214	0	0	0	1	12.27	1	1	1	1	1	
1	377.26	9.86	-10.47	198	0	0	0	1	12.29	1	1	1	1	1	
1	375.75	9.36	-10.47	188	0	0	0	1	12.27	1	1	1	1	1	
1	372.76	8.62	-10.47	174	0	0	0	1	12.29	1	1	1	1	1	
1	369.09	8.12	-10.47	164	0	0	0	1	12.27	1	1	1	1	1	
1	362.67	7.40	-10.47	150	0	0	0	1	12.27	1	1	1	1	1	
1	356.46	6.92	-10.47	140	0	0	0	1	12.27	1	1	1	1	1	
1	346.58	6.21	-10.47	126	0	0	0	1	12.29	1	1	1	1	1	
1	337.84	5.76	-10.47	116	0	0	0	1	12.30	1	1	1	1	1	
1	328.95	5.32	-10.47	108	0	0	0	1	12.27	1	1	1	1	1	
1	314.60	4.68	-10.46	94	0	0	0	1	12.29	1	1	1	1	1	
1	303.40	4.26	-10.46	86	0	0	0	1	12.29	1	1	1	1	1	
1	285.82	3.68	-10.46	74	0	0	0	1	12.27	1	1	1	1	1	
1	272.53	3.31	-10.47	68	0	0	0	1	12.29	1	1	1	1	1	
1	252.70	2.78	-10.47	56	0	0	0	1	12.25	1	1	1	1	1	
1	237.64	2.46	-10.46	50	0	0	0	1	12.27	1	1	1	1	1	
1	215.27	2.01	-10.48	42	0	0	0	1	12.29	1	1	1	1	1	
1	198.41	1.73	-10.48	36	0	0	0	1	12.27	1	1	1	1	1	
1	174.74	1.36	-10.47	28	0	0	0	1	12.29	1	1	1	1	1	
1	156.90	1.15	-10.48	24	0	0	0	1	12.29	1	1	1	1	1	
1	138.58	0.95	-10.47	20	0	0	0	1	12.29	1	1	1	1	1	
1	112.48	0.70	-10.46	16	0	0	0	1	12.29	1	1	1	1	1	
1	93.80	0.56	-10.44	12	0	0	0	1	12.29	1	1	1	1	1	
1	80.03	0.39	-10.45	10	0	0	0	1	12.29	1	1	1	1	1	
1	80.03	0.29	-10.46	8	0	0	0	1	12.29	1	1	1	1	1	
1	80.03	0.13	-10.46	4	0	0	0	1	12.27	1	1	1	1	1	
1	80.03	0.02	-10.46	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-10.47	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-10.46	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-10.44	2	0	0	0	1	12.29	1	1	1	1	1	
